hipps_code,hhrg_weight
3AGNS,0.9798
3AGNT,0.9798
3AGNU,0.9798
3AGNV,0.9798
3AGNW,0.9798
3AGNX,0.9798
3AGPS,1.1149
3AGPT,1.1149
3AGPU,1.1149
3AGPV,1.1149
3AGPW,1.1149
3AGPX,1.1149
3AHKS,0.6313
3AHKT,0.6313
3AHKU,0.6313
3AHKV,0.6313
3AHKW,0.6313
3AHKX,0.6313
3AHLS,0.7796
3AHLT,0.7796
3AHLU,0.7796
3AHLV,0.7796
3AHLW,0.7796
3AHLX,0.7796
3AHMS,0.9280
3AHMT,0.9280
3AHMU,0.9280
3AHMV,0.9280
3AHMW,0.9280
3AHMX,0.9280
3AHNS,1.0763
3AHNT,1.0763
3AHNU,1.0763
3AHNV,1.0763
3AHNW,1.0763
3AHNX,1.0763
3AHPS,1.2246
3AHPT,1.2246
3AHPU,1.2246
3AHPV,1.2246
3AHPW,1.2246
3AHPX,1.2246
3BFKS,0.5116
3BFKT,0.5116
3BFKU,0.5116
3BFKV,0.5116
3BFKW,0.5116
3BFKX,0.5116
3BFLS,0.6847
3BFLT,0.6847
3BFLU,0.6847
3BFLV,0.6847
3BFLW,0.6847
3BFLX,0.6847
3BFMS,0.8578
3BFMT,0.8578
3BFMU,0.8578
3BFMV,0.8578
3BFMW,0.8578
3BFMX,0.8578
3BFNS,1.0310
3BFNT,1.0310
3BFNU,1.0310
3BFNV,1.0310
3BFNW,1.0310
3BFNX,1.0310
3BFPS,1.2041
3BFPT,1.2041
3BFPU,1.2041
3BFPV,1.2041
3BFPW,1.2041
3BFPX,1.2041
3BGKS,0.5920
3BGKT,0.5920
3BGKU,0.5920
31BGKV,0.5920
3BGKW,0.5920
3BGKX,0.5920
3BGLS,0.7509
3BGLT,0.7509
3BGLU,0.7509
3BGLV,0.7509
3BGLW,0.7509
3BGLX,0.7509
3BGMS,0.9098
3BGMT,0.9098
3BGMU,0.9098
3BGMV,0.9098
3BGMW,0.9098
3BGMX,0.9098
3BGNS,1.0687
3BGNT,1.0687
3BGNU,1.0687
3BGNV,1.0687
3BGNW,1.0687
3BGNX,1.0687
3BGPS,1.2276
3BGPT,1.2276
3BGPU,1.2276
3BGPV,1.2276
3BGPW,1.2276
3BGPX,1.2276
3BHKS,0.6487
3BHKT,0.6487
3BHKU,0.6487
3BHKV,0.6487
3BHKW,0.6487
3BHKX,0.6487
3BHLS,0.8208
3BHLT,0.8208
3BHLU,0.8208
3BHLV,0.8208
3BHLW,0.8208
3BHLX,0.8208
3BHMS,0.9930
3BHMT,0.9930
3BHMU,0.9930
3BHMV,0.9930
3BHMW,0.9930
3BHMX,0.9930
3BHNS,1.1652
3BHNT,1.1652
3BHNU,1.1652
3BHNV,1.1652
3BHNW,1.1652
3BHNX,1.1652
3BHPS,1.3373
3BHPT,1.3373
3BHPU,1.3373
3BHPV,1.3373
3BHPW,1.3373
3BHPX,1.3373
3CFKS,0.6350
3CFKT,0.6350
3CFKU,0.6350
3CFKV,0.6350
3CFKW,0.6350
3CFKX,0.6350
3CFLS,0.8176
3CFLT,0.8176
3CFLU,0.8176
3CFLV,0.8176
3CFLW,0.8176
3CFLX,0.8176
3CFMS,1.0002
3CFMT,1.0002
3CFMU,1.0002
3CFMV,1.0002
3CFMW,1.0002
3CFMX,1.0002
3CFNS,1.1828
3CFNT,1.1828
3CFNU,1.1828
3CFNV,1.1828
3CFNW,1.1828
3CFNX,1.1828
3CFPS,1.3654
3CFPT,1.3654
3CFPU,1.3654
3CFPV,1.3654
3CFPW,1.3654
3CFPX,1.3654
3CGKS,0.7155
3CGKT,0.7155
3CGKU,0.7155
3CGKV,0.7155
3CGKW,0.7155
3CGKX,0.7155
3CGLS,0.8839
3CGLT,0.8839
3CGLU,0.8839
3CGLV,0.8839
3CGLW,0.8839
3CGLX,0.8839
3CGMS,1.0522
3CGMT,1.0522
3CGMU,1.0522
3CGMV,1.0522
3CGMW,1.0522
3CGMX,1.0522
3CGNS,1.2206
3CGNT,1.2206
3CGNU,1.2206
3CGNV,1.2206
3CGNW,1.2206
3CGNX,1.2206
3CGPS,1.3889
3CGPT,1.3889
3CGPU,1.3889
3CGPV,1.3889
3CGPW,1.3889
3CGPX,1.3889
3CHKS,0.7721
3CHKT,0.7721
3CHKU,0.7721
3CHKV,0.7721
3CHKW,0.7721
3CHKX,0.7721
3CHLS,0.9538
3CHLT,0.9538
3CHLU,0.9538
3CHLV,0.9538
3CHLW,0.9538
3CHLX,0.9538
3CHMS,1.1354
3CHMT,1.1354
3CHMU,1.1354
3CHMV,1.1354
3CHMW,1.1354
3CHMX,1.1354
3CHNS,1.3170
3CHNT,1.3170
3CHNU,1.3170
3CHNV,1.3170
3CHNW,1.3170
3CHNX,1.3170
3CHPS,1.4987
3CHPT,1.4987
3CHPU,1.4987
