hipps_code	hhrg_weight
3CHKS,1.1985
3CHKT,1.1985
3CHKU,1.1985
3CHKV,1.1985
3CHKW,1.1985
3CHKX,1.1985
3CHLS,1.4222
3CHLT,1.4222
3CHLU,1.4222
3CHLV,1.4222
3CHLW,1.4222
3CHLX,1.4222
3CHMS,1.6460
3CHMT,1.6460
3CHMU,1.6460
3CHMV,1.6460
3CHMW,1.6460
3CHMX,1.6460
3CHNS,1.8697
3CHNT,1.8697
3CHNU,1.8697
3CHNV,1.8697
3CHNW,1.8697
3CHNX,1.8697
3CHPS,2.0935
3CHPT,2.0935
3CHPU,2.0935
3CHPV,2.0935
3CHPW,2.0935
3CHPX,2.0935
4AFKS,1.6822
4AFKT,1.6822
4AFKU,1.6822
4AFKV,1.6822
4AFKW,1.6822
4AFKX,1.6822
4AFLS,1.8730
4AFLT,1.8730
4AFLU,1.8730
4AFLV,1.8730
4AFLW,1.8730
4AFLX,1.8730
4AFMS,2.0638
4AFMT,2.0638
4AFMU,2.0638
4AFMV,2.0638
4AFMW,2.0638
4AFMX,2.0638
4AGKS,1.7628
4AGKT,1.7628
4AGKU,1.7628
4AGKV,1.7628
4AGKW,1.7628
4AGKX,1.7628
4AGLS,1.9791
4AGLT,1.9791
4AGLU,1.9791
4AGLV,1.9791
4AGLW,1.9791
4AGLX,1.9791
4AGMS,2.1954
4AGMT,2.1954
4AGMU,2.1954
4AGMV,2.1954
4AGMW,2.1954
4AGMX,2.1954
4AHKS,1.9247
4AHKT,1.9247
4AHKU,1.9247
4AHKV,1.9247
4AHKW,1.9247
4AHKX,1.9247
4AHLS,2.1305
4AHLT,2.1305
4AHLU,2.1305
4AHLV,2.1305
4AHLW,2.1305
4AHLX,2.1305
4AHMS,2.3362
4AHMT,2.3362
4AHMU,2.3362
4AHMV,2.3362
4AHMW,2.3362
4AHMX,2.3362
4BFKS,1.8508
4BFKT,1.8508
4BFKU,1.8508
4BFKV,1.8508
4BFKW,1.8508
4BFKX,1.8508
4BFLS,2.0460
4BFLT,2.0460
4BFLU,2.0460
4BFLV,2.0460
4BFLW,2.0460
4BFLX,2.0460
4BFMS,2.2412
4BFMT,2.2412
4BFMU,2.2412
4BFMV,2.2412
4BFMW,2.2412
4BFMX,2.2412
4BGKS,1.9314
4BGKT,1.9314
4BGKU,1.9314
4BGKV,1.9314
4BGKW,1.9314
4BGKX,1.9314
4BGLS,2.1521
4BGLT,2.1521
4BGLU,2.1521
4BGLV,2.1521
4BGLW,2.1521
4BGLX,2.1521
4BGMS,2.3729
4BGMT,2.3729
4BGMU,2.3729
4BGMV,2.3729
4BGMW,2.3729
4BGMX,2.3729
4BHKS,2.0933
4BHKT,2.0933
4BHKU,2.0933
4BHKV,2.0933
4BHKW,2.0933
4BHKX,2.0933
4BHLS,2.3035
4BHLT,2.3035
4BHLU,2.3035
4BHLV,2.3035
4BHLW,2.3035
4BHLX,2.3035
4BHMS,2.5136
4BHMT,2.5136
4BHMU,2.5136
4BHMV,2.5136
4BHMW,2.5136
4BHMX,2.5136
4CFKS,2.0747
4CFKT,2.0747
4CFKU,2.0747
4CFKV,2.0747
4CFKW,2.0747
4CFKX,2.0747
4CFLS,2.2878
4CFLT,2.2878
4CFLU,2.2878
4CFLV,2.2878
4CFLW,2.2878
4CFLX,2.2878
4CFMS,2.5009
4CFMT,2.5009
4CFMU,2.5009
4CFMV,2.5009
4CFMW,2.5009
4CFMX,2.5009
4CGKS,2.1553
4CGKT,2.1553
4CGKU,2.1553
4CGKV,2.1553
4CGKW,2.1553
4CGKX,2.1553
4CGLS,2.3940
4CGLT,2.3940
4CGLU,2.3940
4CGLV,2.3940
4CGLW,2.3940
4CGLX,2.3940
4CGMS,2.6326
4CGMT,2.6326
4CGMU,2.6326
4CGMV,2.6326
4CGMW,2.6326
4CGMX,2.6326
4CHKS,2.3172
4CHKT,2.3172
4CHKU,2.3172
4CHKV,2.3172
4CHKW,2.3172
4CHKX,2.3172
4CHLS,2.5453
4CHLT,2.5453
4CHLU,2.5453
4CHLV,2.5453
4CHLW,2.5453
4CHLX,2.5453
4CHMS,2.7734
4CHMT,2.7734
4CHMU,2.7734
4CHMV,2.7734
4CHMW,2.7734
4CHMX,2.7734
5AFKS,2.2546
5AFKT,2.2546
5AFKU,2.2546
5AFKV,2.2546
5AFKW,2.2546
5AFKX,2.2546
5AGKS,2.4117
5AGKT,2.4117
5AGKU,2.4117
5AGKV,2.4117
5AGKW,2.4117
5AGKX,2.4117
5AHKS,2.5419
5AHKT,2.5419
5AHKU,2.5419
5AHKV,2.5419
5AHKW,2.5419
5AHKX,2.5419
5BFKS,2.4364
5BFKT,2.4364
5BFKU,2.4364
5BFKV,2.4364
5BFKW,2.4364
5BFKX,2.4364
5BGKS,2.5936
5BGKT,2.5936
5BGKU,2.5936
5BGKV,2.5936
5BGKW,2.5936
5BGKX,2.5936
5BHKS,2.7238
5BHKT,2.7238
5BHKU,2.7238
5BHKV,2.7238
5BHKW,2.7238
5BHKX,2.7238
5CFKS,2.7140
5CFKT,2.7140
5CFKU,2.7140
5CFKV,2.7140
5CFKW,2.7140
5CFKX,2.7140
5CGKS,2.8712
5CGKT,2.8712
5CGKU,2.8712
5CGKV,2.8712
5CGKW,2.8712
5CGKX,2.8712
5CHKS,3.0014
5CHKT,3.0014
5CHKU,3.0014
5CHKV,3.0014
5CHKW,3.0014
5CHKX,3.0014
