HIPPS Code,HHRG Weight,Supply Add-on,Rural Supply Add-on
3CFMW,1.3893,330.29,340.2
3CFMX,1.3893,568.06,585.11
3CFNS,1.6178,14.56,15
3CFNT,1.6178,52.58,54.16
3CFNU,1.6178,144.16,148.49
3CFNV,1.6178,214.19,220.61
3CFNW,1.6178,330.29,340.2
3CFNX,1.6178,568.06,585.11
3CFPS,1.8463,14.56,15
3CFPT,1.8463,52.58,54.16
3CFPU,1.8463,144.16,148.49
3CFPV,1.8463,214.19,220.61
3CFPW,1.8463,330.29,340.2
3CFPX,1.8463,568.06,585.11
3CGKS,1.1054,14.56,15
3CGKT,1.1054,52.58,54.16
3CGKU,1.1054,144.16,148.49
3CGKV,1.1054,214.19,220.61
3CGKW,1.1054,330.29,340.2
3CGKX,1.1054,568.06,585.11
3CGLS,1.3154,14.56,15
3CGLT,1.3154,52.58,54.16
3CGLU,1.3154,144.16,148.49
3CGLV,1.3154,214.19,220.61
3CGLW,1.3154,330.29,340.2
3CGLX,1.3154,568.06,585.11
3CGMS,1.5254,14.56,15
3CGMT,1.5254,52.58,54.16
3CGMU,1.5254,144.16,148.49
3CGMV,1.5254,214.19,220.61
3CGMW,1.5254,330.29,340.2
3CGMX,1.5254,568.06,585.11
3CGNS,1.7353,14.56,15
3CGNT,1.7353,52.58,54.16
3CGNU,1.7353,144.16,148.49
3CGNV,1.7353,214.19,220.61
3CGNW,1.7353,330.29,340.2
3CGNX,1.7353,568.06,585.11
3CGPS,1.9453,14.56,15
3CGPT,1.9453,52.58,54.16
3CGPU,1.9453,144.16,148.49
3CGPV,1.9453,214.19,220.61
3CGPW,1.9453,330.29,340.2
3CGPX,1.9453,568.06,585.11
3CHKS,1.1985,14.56,15
3CHKT,1.1985,52.58,54.16
3CHKU,1.1985,144.16,148.49
3CHKV,1.1985,214.19,220.61
3CHKW,1.1985,330.29,340.2
3CHKX,1.1985,568.06,585.11
3CHLS,1.4222,14.56,15
3CHLT,1.4222,52.58,54.16
3CHLU,1.4222,144.16,148.49
3CHLV,1.4222,214.19,220.61
3CHLW,1.4222,330.29,340.2
3CHLX,1.4222,568.06,585.11
3CHMS,1.646,14.56,15
3CHMT,1.646,52.58,54.16
3CHMU,1.646,144.16,148.49
3CHMV,1.646,214.19,220.61
3CHMW,1.646,330.29,340.2
3CHMX,1.646,568.06,585.11
3CHNS,1.8697,14.56,15
3CHNT,1.8697,52.58,54.16
3CHNU,1.8697,144.16,148.49
3CHNV,1.8697,214.19,220.61
3CHNW,1.8697,330.29,340.2
3CHNX,1.8697,568.06,585.11
3CHPS,2.0935,14.56,15
3CHPT,2.0935,52.58,54.16
3CHPU,2.0935,144.16,148.49
3CHPV,2.0935,214.19,220.61
3CHPW,2.0935,330.29,340.2
3CHPX,2.0935,568.06,585.11
4AFKS,1.6822,14.56,15
4AFKT,1.6822,52.58,54.16
4AFKU,1.6822,144.16,148.49
4AFKV,1.6822,214.19,220.61
4AFKW,1.6822,330.29,340.2
4AFKX,1.6822,568.06,585.11
4AFLS,1.873,14.56,15
4AFLT,1.873,52.58,54.16
4AFLU,1.873,144.16,148.49
4AFLV,1.873,214.19,220.61
4AFLW,1.873,330.29,340.2
4AFLX,1.873,568.06,585.11
4AFMS,2.0638,14.56,15
4AFMT,2.0638,52.58,54.16
4AFMU,2.0638,144.16,148.49
4AFMV,2.0638,214.19,220.61
4AFMW,2.0638,330.29,340.2
4AFMX,2.0638,568.06,585.11
4AGKS,1.7628,14.56,15
4AGKT,1.7628,52.58,54.16
4AGKU,1.7628,144.16,148.49
4AGKV,1.7628,214.19,220.61
4AGKW,1.7628,330.29,340.2
4AGKX,1.7628,568.06,585.11
4AGLS,1.9791,14.56,15
4AGLT,1.9791,52.58,54.16
4AGLU,1.9791,144.16,148.49
4AGLV,1.9791,214.19,220.61
4AGLW,1.9791,330.29,340.2
4AGLX,1.9791,568.06,585.11
4AGMS,2.1954,14.56,15
4AGMT,2.1954,52.58,54.16
4AGMU,2.1954,144.16,148.49
4AGMV,2.1954,214.19,220.61
4AGMW,2.1954,330.29,340.2
4AGMX,2.1954,568.06,585.11
4AHKS,1.9247,14.56,15
4AHKT,1.9247,52.58,54.16
4AHKU,1.9247,144.16,148.49
4AHKV,1.9247,214.19,220.61
4AHKW,1.9247,330.29,340.2
4AHKX,1.9247,568.06,585.11
4AHLS,2.1305,14.56,15
4AHLT,2.1305,52.58,54.16
